Miasto	Powiat	Województwo	Powierzchnia [ha] (01.01.2020)	Liczba ludności (01.01.2020)	Gęstość zaludnienia [osoby/km²] (01.01.2020)
Racibórz	raciborski	śląskie	7501	54739	730
Radków	kłodzki	dolnośląskie	1503	2413	161
Radlin	wodzisławski	śląskie	1253	17759	1417
Radłów	tarnowski	małopolskie	1683	2742	163
Radom	Radom[a]	mazowieckie	11180	211371	1891
Radomsko	radomszczański	łódzkie	5143	45843	891
Radomyśl Wielki	mielecki	podkarpackie	879	3226	367
Radoszyce	konecki	świętokrzyskie	1717	3140	183
Radymno	jarosławski	podkarpackie	1362	5273	387
Radziejów	radziejowski	kujawsko-pomorskie	569	5516	969
Radzionków	tarnogórski	śląskie	1320	16873	1278
Radzymin	wołomiński	mazowieckie	2339	13118	561
Radzyń Chełmiński	grudziądzki	kujawsko-pomorskie	178	1813	1019
Radzyń Podlaski	radzyński	lubelskie	1931	15656	811
Rajgród	grajewski	podlaskie	3528	1572	45
Rakoniewice	grodziski	wielkopolskie	337	3587	1064
Raszków	ostrowski	wielkopolskie	205	2115	1032
Rawa Mazowiecka	rawski	łódzkie	1430	17324	1211
Rawicz	rawicki	wielkopolskie	774	20111	2598
Recz	choszczeński	zachodniopomorskie	1240	2883	233
Reda	wejherowski	pomorskie	3346	26307	786
Rejowiec	chełmski	lubelskie	650	2068	318
Rejowiec Fabryczny	chełmski	lubelskie	1428	4386	307
Resko	łobeski	zachodniopomorskie	449	4205	937
Reszel	kętrzyński	warmińsko-mazurskie	382	4550	1191
Rogoźno	obornicki	wielkopolskie	1124	11088	986
Ropczyce	ropczycko-sędziszowski	podkarpackie	4710	15860	337
Różan	makowski	mazowieckie	666	2720	408
Ruciane-Nida	piski	warmińsko-mazurskie	1707	4451	261
Ruda Śląska	Ruda Śląska[a]	śląskie	7773	137360	1767
Rudnik nad Sanem	niżański	podkarpackie	3660	6754	185
Rumia	wejherowski	pomorskie	3010	49230	1636
Rybnik	Rybnik[a]	śląskie	14836	138098	931
Rychwał	koniński	wielkopolskie	970	2373	245
Rydułtowy	wodzisławski	śląskie	1495	21514	1439
Rydzyna	leszczyński	wielkopolskie	220	2897	1317
Ryglice	tarnowski	małopolskie	2515	2836	113
Ryki	rycki	lubelskie	2722	9634	354
Rymanów	krośnieński	podkarpackie	1239	3816	308
Ryn	giżycki	warmińsko-mazurskie	414	2843	687
Rypin	rypiński	kujawsko-pomorskie	1096	16130	1472
Rzepin	słubicki	lubuskie	1142	6505	570
Rzeszów	Rzeszów[a]	podkarpackie	12661	196208	1550
Rzgów	łódzki wschodni	łódzkie	1677	3371	201
Sandomierz	sandomierski	świętokrzyskie	2869	23362	814
Sanniki	gostyniński	mazowieckie	1176	1949	166
Sanok	sanocki	podkarpackie	3808	37359	981
Sejny	sejneński	podlaskie	449	5260	1171
Serock	legionowski	mazowieckie	1343	4585	341
Sędziszów	jędrzejowski	świętokrzyskie	792	6408	809
Sędziszów Małopolski	ropczycko-sędziszowski	podkarpackie	3699	12350	334
Sępopol	bartoszycki	warmińsko-mazurskie	463	1941	419
Sępólno Krajeńskie	sępoleński	kujawsko-pomorskie	655	9093	1388
Sianów	koszaliński	zachodniopomorskie	1588	6621	417
Siechnice	wrocławski	dolnośląskie	1563	8320	532
Siedlce	Siedlce[a]	mazowieckie	3186	78185	2454
Siedliszcze	chełmski	lubelskie	1316	1431	109
Siemianowice Śląskie	Siemianowice Śląskie[a]	śląskie	2550	66841	2621
Siemiatycze	siemiatycki	podlaskie	3625	14391	397
Sieniawa	przeworski	podkarpackie	674	2149	319
Sieradz	sieradzki	łódzkie	5122	41953	819
Sieraków	międzychodzki	wielkopolskie	1408	5993	426
Sierpc	sierpecki	mazowieckie	1859	17933	965
Siewierz	będziński	śląskie	3866	5568	144
Skalbmierz	kazimierski	świętokrzyskie	713	1275	179
Skała	krakowski	małopolskie	297	3801	1280
Skarszewy	starogardzki	pomorskie	1079	7012	650
Skaryszew	radomski	mazowieckie	2749	4354	158
Skarżysko-Kamienna	skarżyski	świętokrzyskie	6439	44848	697
Skawina	krakowski	małopolskie	2050	24310	1186
Skępe	lipnowski	kujawsko-pomorskie	748	3590	480
Skierniewice	Skierniewice[a]	łódzkie	3460	48089	1390
Skoczów	cieszyński	śląskie	985	14302	1452
Skoki	wągrowiecki	wielkopolskie	1120	4425	395
Skórcz	starogardzki	pomorskie	363	3623	998
Skwierzyna	międzyrzecki	lubuskie	3589	9593	267
Sława	wschowski	lubuskie	1490	4290	288
Sławków	będziński	śląskie	3667	6983	190
Sławno	sławieński	zachodniopomorskie	1583	12468	788
Słomniki	krakowski	małopolskie	343	4321	1260
Słubice	słubicki	lubuskie	1921	16644	866
Słupca	słupecki	wielkopolskie	1030	13658	1326
Słupsk	Słupsk[a]	pomorskie	4315	90681	2102
Sobótka	wrocławski	dolnośląskie	3220	6989	217
Sochaczew	sochaczewski	mazowieckie	2619	36282	1385
Sochocin	płoński	mazowieckie	683	1997	292
Sokołów Małopolski	rzeszowski	podkarpackie	1554	4203	270
Sokołów Podlaski	sokołowski	mazowieckie	1751	18945	1082
Sokółka	sokólski	podlaskie	1859	18063	972
Solec Kujawski	bydgoski	kujawsko-pomorskie	1868	15635	837
Solec nad Wisłą	lipski	mazowieckie	2091	965	46
Sompolno	koniński	wielkopolskie	621	3538	570
Sopot	Sopot[a]	pomorskie	1728	35719	2067
Sosnowiec	Sosnowiec[a]	śląskie	9106	199974	2196
Sośnicowice	gliwicki	śląskie	1167	1906	163
Stalowa Wola	stalowowolski	podkarpackie	8252	60466	733
Starachowice	starachowicki	świętokrzyskie	3182	48395	1521
Stargard	stargardzki	zachodniopomorskie	4808	67837	1411
Starogard Gdański	starogardzki	pomorskie	2528	47671	1886
Stary Sącz	nowosądecki	małopolskie	1500	9085	606
Staszów	staszowski	świętokrzyskie	2688	14649	545
Stawiski	kolneński	podlaskie	1324	2161	163
Stawiszyn	kaliski	wielkopolskie	99	1494	1509
Stąporków	konecki	świętokrzyskie	1094	5630	515
Stepnica	goleniowski	zachodniopomorskie	340	2472	727
Stęszew	poznański	wielkopolskie	569	5946	1045
Stoczek Łukowski	łukowski	lubelskie	915	2500	273
Stopnica	buski	świętokrzyskie	455	1415	311
Stronie Śląskie	kłodzki	dolnośląskie	238	5679	2386
Strumień	cieszyński	śląskie	629	3697	588
Stryków	zgierski	łódzkie	815	3478	427
Strzegom	świdnicki	dolnośląskie	2049	16032	782
Strzelce Krajeńskie	strzelecko-drezdenecki	lubuskie	554	9916	1790
Strzelce Opolskie	strzelecki	opolskie	2997	17835	595
Strzelin	strzeliński	dolnośląskie	1034	12474	1206
Strzelno	mogileński	kujawsko-pomorskie	446	5611	1258
Strzyżów	strzyżowski	podkarpackie	1389	8831	636
Sucha Beskidzka	suski	małopolskie	2765	9088	329
Suchań	stargardzki	zachodniopomorskie	357	1462	410
Suchedniów	skarżyski	świętokrzyskie	5940	8323	140
Suchowola	sokólski	podlaskie	2595	2178	84
Sulechów	zielonogórski	lubuskie	688	16750	2435
Sulejów	piotrkowski	łódzkie	2626	6177	235
Sulejówek	miński	mazowieckie	1931	19838	1027
Sulęcin	sulęciński	lubuskie	856	10096	1179
Sulmierzyce	krotoszyński	wielkopolskie	2929	2851	97
Sułkowice	myślenicki	małopolskie	1646	6633	403
Supraśl	białostocki	podlaskie	569	4610	810
Suraż	białostocki	podlaskie	3386	991	29
Susz	iławski	warmińsko-mazurskie	667	5567	835
Suwałki	Suwałki[a]	podlaskie	6551	69758	1065
Swarzędz	poznański	wielkopolskie	823	30201	3670
Syców	oleśnicki	dolnośląskie	1705	10381	609
Szadek	zduńskowolski	łódzkie	1793	1902	106
Szamocin	chodzieski	wielkopolskie	467	4192	898
Szamotuły	szamotulski	wielkopolskie	1108	18853	1702
Szczawnica	nowotarski	małopolskie	3290	5711	174
Szczawno-Zdrój	wałbrzyski	dolnośląskie	1474	5569	378
Szczebrzeszyn	zamojski	lubelskie	2912	4964	170
Szczecin	Szczecin[a]	zachodniopomorskie	30060	401907	1337
Szczecinek	szczecinecki	zachodniopomorskie	4848	40043	826
Szczekociny	zawierciański	śląskie	1803	3595	199
Szczucin	dąbrowski	małopolskie	685	4157	607
Szczuczyn	grajewski	podlaskie	1323	3354	254
Szczyrk	bielski	śląskie	3907	5751	147
Szczytna	kłodzki	dolnośląskie	8038	5130	64
Szczytno	szczycieński	warmińsko-mazurskie	1062	23088	2174
Szepietowo	wysokomazowiecki	podlaskie	284	2165	762
Szklarska Poręba	jeleniogórski	dolnośląskie	7544	6633	88
Szlichtyngowa	wschowski	lubuskie	155	1274	822
Szprotawa	żagański	lubuskie	1095	11711	1069
Sztum	sztumski	pomorskie	459	9870	2150
Szubin	nakielski	kujawsko-pomorskie	765	9545	1248
Szydłowiec	szydłowiecki	mazowieckie	2189	11687	534
Szydłów	staszowski	świętokrzyskie	1621	1101	68
Ścinawa	lubiński	dolnośląskie	1354	5530	408
Ślesin	koniński	wielkopolskie	718	3131	436
Śmigiel	kościański	wielkopolskie	530	5641	1064
Śrem	śremski	wielkopolskie	1237	29446	2380
Środa Śląska	średzki	dolnośląskie	1494	9539	638
Środa Wielkopolska	średzki	wielkopolskie	2192	23505	1072
Świątniki Górne	krakowski	małopolskie	444	2438	549
Świdnica	świdnicki	dolnośląskie	2176	56803	2610
Świdnik	świdnicki	lubelskie	2035	39136	1923
Świdwin	świdwiński	zachodniopomorskie	2238	15468	691
Świebodzice	świdnicki	dolnośląskie	3043	22744	747
Świebodzin	świebodziński	lubuskie	1693	21685	1281
Świecie	świecki	kujawsko-pomorskie	1187	25634	2160
Świeradów-Zdrój	lubański	dolnośląskie	2072	4100	198
Świerzawa	złotoryjski	dolnośląskie	176	2249	1278
Świętochłowice	Świętochłowice[a]	śląskie	1331	49557	3723
Świnoujście	Świnoujście[a]	zachodniopomorskie	20207	40888	202
Tarczyn	piaseczyński	mazowieckie	523	4132	790
Tarnobrzeg	Tarnobrzeg[a]	podkarpackie	8540	46745	547
Tarnogród	biłgorajski	lubelskie	1069	3308	309
Tarnowskie Góry	tarnogórski	śląskie	8388	61686	735
Tarnów	Tarnów[a]	małopolskie	7238	108470	1499
Tczew	tczewski	pomorskie	2238	59951	2679
Terespol	bialski	lubelskie	1011	5560	550
Tłuszcz	wołomiński	mazowieckie	791	8196	1036
Tolkmicko	elbląski	warmińsko-mazurskie	229	2663	1163
Tomaszów Lubelski	tomaszowski	lubelskie	1329	19035	1432
Tomaszów Mazowiecki	tomaszowski	łódzkie	4130	61960	1500
Toruń	Toruń[a]	kujawsko-pomorskie	11572	201447	1741
Torzym	sulęciński	lubuskie	911	2541	279
Toszek	gliwicki	śląskie	971	3589	370
Trzcianka	czarnkowsko-trzcianecki	wielkopolskie	1830	17140	937
Trzciel	międzyrzecki	lubuskie	304	2358	776
Trzcińsko-Zdrój	gryfiński	zachodniopomorskie	233	2248	965
Trzebiatów	gryficki	zachodniopomorskie	1025	9964	972
Trzebinia	chrzanowski	małopolskie	3194	19663	616
Trzebnica	trzebnicki	dolnośląskie	1061	13343	1258
Trzemeszno	gnieźnieński	wielkopolskie	546	7655	1402
Tuchola	tucholski	kujawsko-pomorskie	1769	13649	772
Tuchów	tarnowski	małopolskie	1810	6594	364
Tuczno	wałecki	zachodniopomorskie	921	1913	208
Tuliszków	turecki	wielkopolskie	700	3239	463
Tułowice	opolski	opolskie	923	4027	436
Turek	turecki	wielkopolskie	1617	26833	1659
Tuszyn	łódzki wschodni	łódzkie	2325	7255	312
Twardogóra	oleśnicki	dolnośląskie	829	6624	799
Tychowo	białogardzki	zachodniopomorskie	396	2520	636
Tychy	Tychy[a]	śląskie	8181	127590	1560
Tyczyn	rzeszowski	podkarpackie	967	3871	400
Tykocin	białostocki	podlaskie	2897	1968	68
Tyszowce	tomaszowski	lubelskie	1852	2091	113
Ujazd	strzelecki	opolskie	1476	1737	118
Ujście	pilski	wielkopolskie	578	3674	636
Ulanów	niżański	podkarpackie	820	1446	176
Uniejów	poddębicki	łódzkie	1223	3000	245
Urzędów	kraśnicki	lubelskie	1291	1694	131
Ustka	słupski	pomorskie	1019	15367	1508
Ustroń	cieszyński	śląskie	5903	16067	272
Ustrzyki Dolne	bieszczadzki	podkarpackie	1679	9041	538
Wadowice	wadowicki	małopolskie	1054	18692	1773
Wałbrzych	Wałbrzych[a]	dolnośląskie	8470	111356	1315
Wałcz	wałecki	zachodniopomorskie	3817	25179	660
Warka	grójecki	mazowieckie	2677	11952	446
Warszawa	m.st. Warszawa[a]	mazowieckie	51724	1790658	3462
Warta	sieradzki	łódzkie	1085	3242	299
Wasilków	białostocki	podlaskie	2826	11622	411
Wąbrzeźno	wąbrzeski	kujawsko-pomorskie	853	13518	1585
Wąchock	starachowicki	świętokrzyskie	1602	2768	173
Wągrowiec	wągrowiecki	wielkopolskie	1783	25686	1441
Wąsosz	górowski	dolnośląskie	324	2660	821
Wejherowo	wejherowski	pomorskie	2699	49505	1834
Węgliniec	zgorzelecki	dolnośląskie	873	2830	324
Węgorzewo	węgorzewski	warmińsko-mazurskie	1088	11280	1037
Węgorzyno	łobeski	zachodniopomorskie	685	2779	406
Węgrów	węgrowski	mazowieckie	3551	12583	354
Wiązów	strzeliński	dolnośląskie	916	2212	241
Wielbark	szczycieński	warmińsko-mazurskie	1842	2987	162
Wieleń	czarnkowsko-trzcianecki	wielkopolskie	446	5860	1314
Wielichowo	grodziski	wielkopolskie	124	1757	1417
Wieliczka	wielicki	małopolskie	1341	23849	1778
Wieluń	wieluński	łódzkie	1687	22269	1320
Wieruszów	wieruszowski	łódzkie	597	8517	1427
Więcbork	sępoleński	kujawsko-pomorskie	431	5965	1384
Wilamowice	bielski	śląskie	1036	3113	300
Wiskitki	żyrardowski	mazowieckie	661	1404	212
Wisła	cieszyński	śląskie	11017	11096	101
Wiślica	buski	świętokrzyskie	471	504	107
Witkowo	gnieźnieński	wielkopolskie	831	7812	940
Witnica	gorzowski	lubuskie	824	6731	817
Wleń	lwówecki	dolnośląskie	722	1751	243
Władysławowo	pucki	pomorskie	1367	9931	726
Włocławek	Włocławek[a]	kujawsko-pomorskie	8432	109883	1303
Włodawa	włodawski	lubelskie	1797	13066	727
Włoszczowa	włoszczowski	świętokrzyskie	3030	9924	328
Wodzisław	jędrzejowski	świętokrzyskie	794	1153	145
Wodzisław Śląski	wodzisławski	śląskie	4951	47813	966
Wojcieszów	złotoryjski	dolnośląskie	3217	3650	113
Wojkowice	będziński	śląskie	1279	8942	699
Wojnicz	tarnowski	małopolskie	850	3314	390
Wolbórz	piotrkowski	łódzkie	1518	2328	153
Wolbrom	olkuski	małopolskie	1012	8561	846
Wolin	kamieński	zachodniopomorskie	1447	4770	330
Wolsztyn	wolsztyński	wielkopolskie	478	13018	2723
Wołczyn	kluczborski	opolskie	747	5884	788
Wołomin	wołomiński	mazowieckie	1724	37056	2149
Wołów	wołowski	dolnośląskie	1854	12350	666
Woźniki	lubliniecki	śląskie	7101	4297	61
Wrocław	Wrocław[a]	dolnośląskie	29282	642869	2195
Wronki	szamotulski	wielkopolskie	581	11119	1914
Września	wrzesiński	wielkopolskie	1273	30922	2429
Wschowa	wschowski	lubuskie	925	13851	1497
Wyrzysk	pilski	wielkopolskie	412	5123	1243
Wysoka	pilski	wielkopolskie	482	2598	539
Wysokie Mazowieckie	wysokomazowiecki	podlaskie	1524	9341	613
Wyszków	wyszkowski	mazowieckie	2078	26997	1299
Wyszogród	płocki	mazowieckie	1297	2601	201
Wyśmierzyce	białobrzeski	mazowieckie	1684	894	53
Zabłudów	białostocki	podlaskie	1430	2482	174
Zabrze	Zabrze[a]	śląskie	8040	172360	2144
Zagórów	słupecki	wielkopolskie	344	2945	856
Zagórz	sanocki	podkarpackie	2229	5120	230
Zakliczyn	tarnowski	małopolskie	402	1631	406
Zaklików	stalowowolski	podkarpackie	1142	2955	259
Zakopane	tatrzański	małopolskie	8426	27010	321
Zakroczym	nowodworski	mazowieckie	1997	3183	159
Zalewo	iławski	warmińsko-mazurskie	822	2141	260
Zambrów	zambrowski	podlaskie	1902	22018	1158
Zamość	Zamość[a]	lubelskie	3034	63437	2091
Zator	oświęcimski	małopolskie	1152	3664	318
Zawadzkie	strzelecki	opolskie	1646	7107	432
Zawichost	sandomierski	świętokrzyskie	2029	1754	86
Zawidów	zgorzelecki	dolnośląskie	607	4180	689
Zawiercie	zawierciański	śląskie	8525	49204	577
Ząbki	wołomiński	mazowieckie	1098	37818	3444
Ząbkowice Śląskie	ząbkowicki	dolnośląskie	1367	14929	1092
Zbąszynek	świebodziński	lubuskie	358	5032	1406
Zbąszyń	nowotomyski	wielkopolskie	542	7239	1336
Zduny	krotoszyński	wielkopolskie	620	4487	724
Zduńska Wola	zduńskowolski	łódzkie	2457	41686	1697
Zdzieszowice	krapkowicki	opolskie	1235	11449	927
Zelów	bełchatowski	łódzkie	1075	7541	701
Zgierz	zgierski	łódzkie	4233	56190	1327
Zgorzelec	zgorzelecki	dolnośląskie	1588	30231	1904
Zielona Góra	Zielona Góra[a]	lubuskie	27832	141222	507
Zielonka	wołomiński	mazowieckie	7948	17560	221
Ziębice	ząbkowicki	dolnośląskie	1507	8650	574
Złocieniec	drawski	zachodniopomorskie	3228	12833	398
Złoczew	sieradzki	łódzkie	1379	3363	244
Złotoryja	złotoryjski	dolnośląskie	1151	15496	1346
Złotów	złotowski	wielkopolskie	1158	18532	1600
Złoty Stok	ząbkowicki	dolnośląskie	773	2728	353
Zwierzyniec	zamojski	lubelskie	619	3165	511
Zwoleń	zwoleński	mazowieckie	1591	7715	485
Żabno	tarnowski	małopolskie	1113	4200	377
Żagań	żagański	lubuskie	4038	25668	636
Żarki	myszkowski	śląskie	2544	4567	180
Żarów	świdnicki	dolnośląskie	757	6698	885
Żary	żarski	lubuskie	3349	37304	1114
Żelechów	garwoliński	mazowieckie	1213	3930	324
Żerków	jarociński	wielkopolskie	216	2110	977
Żmigród	trzebnicki	dolnośląskie	949	6443	679
Żnin	żniński	kujawsko-pomorskie	835	13793	1652
Żory	Żory[a]	śląskie	6464	62472	966
Żukowo	kartuski	pomorskie	473	6689	1414
Żuromin	żuromiński	mazowieckie	1118	8816	789
Żychlin	kutnowski	łódzkie	868	8109	934
Żyrardów	żyrardowski	mazowieckie	1435	39828	2775
Żywiec	żywiecki	śląskie	5054	31091	615